,bw_avg,bw_std
0,12500,1138.272578
1,12500,3469.167575
2,12500,4142.794528
3,12500,4272.112483
4,12500,657.2483554
5,12500,3313.660181
6,12500,4239.10457
7,12500,3816.897902
8,12500,3163.413115
9,12500,2348.500048
10,12500,2033.915721
11,12500,2083.976362
12,12500,3233.775439
13,12500,4031.591815
14,12500,4410.021118
15,12500,4158.482323
16,12500,1573.94824
17,12500,259.1771412
18,12500,3682.944454
19,12500,667.9565345
20,12500,966.205968
21,12500,1224.094706
22,12500,1215.313048
23,12500,1044.46917
24,12500,777.502001
25,12500,859.02816
26,12500,1132.761683
27,12500,1209.432373
28,12500,1088.172267
29,12500,1129.911132
30,12500,985.8097126
31,12500,931.061151
32,12500,905.2785593
33,12500,880.8533211
34,12500,782.9264664
35,12500,772.4556274
36,12500,7240.281852
37,12500,6858.311507
38,12500,6689.655466
39,12500,8701.437312
40,12500,10285.42303
41,12500,9887.055793
42,12500,1366.784702
43,12500,1789.382235
44,12500,10716.5519
45,12500,10271.82586
46,12500,8735.597143
47,12500,7228.821972
48,12500,5683.681699
49,12500,3918.889396
50,12500,3713.236362
51,12500,3508.721031
52,12500,7671.557421
53,12500,9714.323763
54,12500,2079.216773
55,12500,2074.74513
56,12500,11103.00748
57,12500,2130.519488
58,12500,2205.678161
59,12500,2594.479455
60,12500,3895.193576
61,12500,3917.575604
62,12500,3943.794176
63,12500,3687.342438
64,12500,3559.53489
65,12500,2841.277344
66,12500,2394.443947
67,12500,2745.763141
68,12500,3377.298592
69,12500,3321.428173
70,12500,3425.872641
71,12500,2558.349381
72,12500,2581.378983
73,12500,3092.497406
74,12500,3061.3496
75,12500,3314.936833
76,12500,3459.857572
77,12500,3454.558135
78,12500,5645.732169
79,12500,5546.149322
80,12500,5697.865629
81,12500,5494.693995
82,12500,5899.645087
83,12500,5768.993911
84,12500,6158.098237
85,12500,6326.549361
86,12500,6853.297754
87,12500,6102.374661
88,12500,5211.934719
89,12500,5693.712453
90,12500,5946.370786
91,12500,6193.301163
92,12500,6206.42571
93,12500,5841.143738
94,12500,5294.835528
95,12500,6456.953647
96,12500,6616.688961
97,12500,5488.185104
98,12500,1094.021457
99,12500,1122.207954
100,12500,1341.745767
101,12500,1548.599738
102,12500,1450.850888
103,12500,1600.807418
104,12500,1630.033152
105,12500,1814.650407
106,12500,1184.347169
107,12500,1264.418565
108,12500,1505.601086
109,12500,1734.439162
110,12500,2192.432111
111,12500,2030.974504
112,12500,1864.183669
113,12500,1697.369235
114,12500,1087.054075
115,12500,1295.236594
116,12500,1282.878886
117,12500,1366.214662
118,12500,1631.814658
119,12500,9811.81051
120,12500,8054.801657
121,12500,11635.60151
122,12500,1114.760444
123,12500,1429.276134
124,12500,869.4810015
125,12500,1112.767287
126,12500,2045.066192
127,12500,1095.763789
128,12500,1305.510572
129,12500,1210.190146
130,12500,1215.65419
131,12500,2397.809937
132,12500,1644.828733
133,12500,1916.624887
134,12500,1215.393723
135,12500,1192.227552
136,12500,683.3686424
137,12500,789.3940787
138,12500,1080.514871
139,12500,1112.383931
140,12500,816.6190526
141,12500,567.4344622
142,12500,1126.883657
143,12500,700.6213079
144,12500,1056.600319
145,12500,3330.032529
146,12500,4547.838968
147,12500,7601.716335
148,12500,343.418511
149,12500,6131.195238
150,12500,7242.735262
151,12500,11351.46147
152,12500,2974.093017
153,12500,5006.939214
154,12500,2934.942294
155,12500,2535.536532
156,12500,3286.561867
157,12500,2314.062074
158,12500,229.9151914
159,12500,273.2595081
160,12500,102.7551751
161,12500,2855.527407
162,12500,1858.044676
163,12500,2012.32749
164,12500,3862.299694
165,12500,1157.505836
166,12500,813.3930529
167,12500,1429.199425
168,12500,442.9647738
169,12500,2293.166066
170,12500,1537.69255
171,12500,995.6687907
172,12500,856.3087814
173,12500,502.3046898
174,12500,577.7408255
175,12500,645.5242976
176,12500,4053.251799
177,12500,6804.447277
178,12500,4431.696304
179,12500,2897.993554
180,12500,7682.773792
181,12500,2196.662516
182,12500,11016.38559
183,12500,1117.367202
184,12500,1633.015855
185,12500,776.1407587
186,12500,1699.177011
187,12500,2170.756373
188,12500,4632.436043
189,12500,711.50057
190,12500,5364.723853
191,12500,2111.887014
192,12500,2808.296809
