,video,pose,std_x,std_y
0,video_0,pose_trace_1.json,0.3535945369555615,0.04141146605378123
1,video_0,pose_trace_2.json,0.1435298983055461,0.06619865508724465
2,video_0,pose_trace_3.json,0.23513464209123608,0.10943996754247753
3,video_0,pose_trace_4.json,0.30079427675394416,0.046471811243329254
4,video_0,pose_trace_5.json,0.053134533845972665,0.036548901744180365
5,video_0,pose_trace_6.json,0.12201958765087434,0.05341991983289924
6,video_0,pose_trace_7.json,0.10697591606699546,0.0875108861903706
7,video_0,pose_trace_8.json,0.10676112444728098,0.0878871076742284
8,video_0,pose_trace_9.json,0.13471679314848253,0.05062895068136232
9,video_0,pose_trace_10.json,0.34227855634841636,0.052485555204368456
10,video_0,pose_trace_11.json,0.13148742031846417,0.07380303712381436
11,video_0,pose_trace_12.json,0.0936530543241526,0.06190323379299447
12,video_0,pose_trace_13.json,0.1726578078075695,0.11473478492201507
13,video_0,pose_trace_14.json,0.1473572445399422,0.0745828263882446
14,video_0,pose_trace_15.json,0.3234455029212797,0.08162441128206789
15,video_0,pose_trace_16.json,0.29583773219774134,0.05995703784717153
16,video_0,pose_trace_17.json,0.29573463851962606,0.13884456675533308
17,video_0,pose_trace_18.json,0.16011348105750797,0.058151894757215064
18,video_0,pose_trace_19.json,0.22083903883245812,0.015137389258196415
19,video_0,pose_trace_20.json,0.05567577850710685,0.06851273208693658
20,video_0,pose_trace_21.json,0.19347770063479544,0.09274714759391849
21,video_0,pose_trace_22.json,0.13181745899587427,0.08113783088726051
22,video_0,pose_trace_23.json,0.11353586220330852,0.06074917409900232
23,video_0,pose_trace_24.json,0.1573558906671529,0.096580666424356
24,video_0,pose_trace_25.json,0.6073344587372617,0.11629389090086609
25,video_0,pose_trace_26.json,0.13883607512837234,0.03461836157978909
26,video_0,pose_trace_27.json,0.21229244132907008,0.08654460979436143
27,video_0,pose_trace_28.json,0.19228167000291602,0.06844596458323199
28,video_0,pose_trace_29.json,0.11764674643795481,0.06403664710521231
29,video_0,pose_trace_30.json,0.09615852141181544,0.06377092827823073
30,video_0,pose_trace_31.json,0.15171016164961948,0.07438788378360313
31,video_0,pose_trace_32.json,0.07581333194976267,0.06336894608311491
32,video_0,pose_trace_33.json,0.19495270974601817,0.08396616963570815
33,video_0,pose_trace_34.json,0.1696745685824018,0.07456367931672425
34,video_0,pose_trace_35.json,0.16525979008161146,0.11035086626018717
35,video_0,pose_trace_36.json,0.07042625249694065,0.07217463490965036
36,video_0,pose_trace_37.json,0.07866399131688816,0.06476556747496498
37,video_0,pose_trace_38.json,0.05088277292445331,0.062491207872331936
38,video_0,pose_trace_39.json,0.10227959547829084,0.072909420974862
39,video_0,pose_trace_40.json,0.28205802113530576,0.06105476982628437
40,video_0,pose_trace_41.json,0.23625851364221245,0.08692041492979634
41,video_0,pose_trace_42.json,0.10642845252592976,0.06765419418885021
42,video_0,pose_trace_43.json,0.14581035213547391,0.07598217855302832
43,video_0,pose_trace_44.json,0.0739093261827813,0.07028310415260984
44,video_0,pose_trace_45.json,0.3902605484344252,0.14591198303314654
45,video_0,pose_trace_46.json,0.11717750261976612,0.06905236122949666
46,video_0,pose_trace_47.json,0.16986449507923793,0.10570606301929161
47,video_0,pose_trace_48.json,0.08448855520164378,0.0499154275353717
48,video_1,pose_trace_1.json,0.1655026982799957,0.051203872527946635
49,video_1,pose_trace_2.json,0.15602032901885637,0.09942722002623433
50,video_1,pose_trace_3.json,0.21542722654641808,0.11911658054402151
51,video_1,pose_trace_4.json,0.21007636386807765,0.03977074952750943
